Month-Year,Yield Type,Trend Score
3-2019,Tomato,79
3-2019,Cardamon,37
3-2019,Onion,31
3-2019,Cowpea,59
3-2019,Cardamon,25
3-2019,Cardamon,36
3-2019,Cowpea,49
3-2019,Cocoa,42
3-2019,Leak,85
3-2019,Cocoa,63
3-2019,Garlic,16
3-2019,Leak,93
3-2019,Leak,93
3-2019,Chilies,48
3-2019,Radish,61
3-2019,Corn,26
3-2019,Ginger,15
3-2019,Pumpkin,29
3-2019,Corn,10
3-2019,Ginger,12
3-2019,Potato,12
3-2019,Cocoa,66
3-2019,Corn,22
3-2019,Garlic,31
3-2019,Cowpea,23
3-2019,Cowpea,41
3-2019,Ginger,33
3-2019,Garlic,58
3-2019,Potato,23
4-2019,Cardamon,46
4-2019,Garlic,85
4-2019,Radish,67
4-2019,Cocoa,89
4-2019,Corn,46
4-2019,Corn,19
4-2019,Cardamon,44
4-2019,Chilies,29
4-2019,Potato,25
4-2019,Chilies,45
4-2019,Leak,40
4-2019,Garlic,75
4-2019,Potato,68
4-2019,Radish,39
4-2019,Pepper,38
4-2019,Chilies,22
4-2019,Ginger,62
4-2019,Ginger,57
4-2019,Leak,18
4-2019,Ginger,29
4-2019,Radish,50
4-2019,Chilies,54
4-2019,Garlic,70
4-2019,Tomato,100
4-2019,Tomato,91
4-2019,Cardamon,67
4-2019,Corn,22
4-2019,Cowpea,27
4-2019,Pepper,12
4-2019,Cardamon,59
4-2019,Leak,52
4-2019,Tomato,92
4-2019,Ginger,35
4-2019,Radish,37
4-2019,Ginger,46
4-2019,Chilies,29
4-2019,Pepper,30
4-2019,Radish,62
4-2019,Corn,29
4-2019,Potato,63
4-2019,Cardamon,38
4-2019,Pumpkin,55
4-2019,Tomato,95
4-2019,Corn,63
4-2019,Corn,26
4-2019,Onion,43
4-2019,Cardamon,28
4-2019,Potato,67
4-2019,Radish,50
4-2019,Cardamon,62
4-2019,Chilies,12
4-2019,Onion,23
4-2019,Garlic,93
4-2019,Tomato,78
4-2019,Tomato,95
4-2019,Leak,62
4-2019,Corn,46
4-2019,Cocoa,74
4-2019,Onion,67
4-2019,Cardamon,38
4-2019,Cowpea,53
4-2019,Corn,51
4-2019,Pumpkin,53
4-2019,Corn,55
4-2019,Leak,30
4-2019,Radish,23
4-2019,Cowpea,36
4-2019,Pumpkin,52
4-2019,Chilies,16
4-2019,Chilies,39
4-2019,Cowpea,48
4-2019,Tomato,94
4-2019,Cowpea,11
4-2019,Corn,13
4-2019,Pumpkin,41
4-2019,Onion,23
4-2019,Chilies,19
4-2019,Potato,14
4-2019,Tomato,78
4-2019,Garlic,99
4-2019,Pumpkin,16
4-2019,Tomato,71
4-2019,Potato,18
4-2019,Pepper,32
4-2019,Cardamon,13
4-2019,Garlic,92
4-2019,Garlic,75
4-2019,Cardamon,11
4-2019,Garlic,85
4-2019,Cardamon,29
4-2019,Tomato,75
4-2019,Cocoa,85
4-2019,Pumpkin,48
4-2019,Tomato,97
4-2019,Pumpkin,29
4-2019,Radish,33
4-2019,Potato,41
4-2019,Pumpkin,55
4-2019,Pumpkin,32
4-2019,Chilies,45
4-2019,Radish,37
4-2019,Pepper,59
4-2019,Cocoa,81
4-2019,Tomato,78
4-2019,Potato,55
4-2019,Onion,36
4-2019,Pumpkin,23
4-2019,Cardamon,28
4-2019,Tomato,70
4-2019,Pepper,10
4-2019,Potato,51
4-2019,Cardamon,26
4-2019,Cocoa,70
4-2019,Garlic,94
4-2019,Ginger,65
4-2019,Radish,18
4-2019,Leak,21
4-2019,Leak,21
4-2019,Leak,10
4-2019,Radish,66
4-2019,Radish,29
4-2019,Pumpkin,28
4-2019,Radish,43
4-2019,Radish,58
4-2019,Ginger,52
4-2019,Radish,58
4-2019,Cardamon,15
4-2019,Pepper,58
4-2019,Garlic,73
4-2019,Leak,68
4-2019,Ginger,62
4-2019,Cocoa,91
4-2019,Corn,43
4-2019,Radish,52
4-2019,Garlic,80
4-2019,Radish,58
4-2019,Tomato,77
4-2019,Cowpea,41
4-2019,Garlic,95
4-2019,Chilies,29
4-2019,Onion,32
4-2019,Tomato,76
4-2019,Tomato,90
4-2019,Radish,30
4-2019,Radish,53
4-2019,Onion,12
4-2019,Cowpea,40
4-2019,Pumpkin,58
4-2019,Cowpea,63
4-2019,Cardamon,36
4-2019,Leak,38
4-2019,Cocoa,92
4-2019,Radish,31
4-2019,Onion,25
4-2019,Potato,16
4-2019,Cardamon,58
4-2019,Ginger,14
4-2019,Ginger,14
4-2019,Cowpea,54
4-2019,Cocoa,97
4-2019,Tomato,83
4-2019,Pepper,34
4-2019,Tomato,90
4-2019,Radish,65
4-2019,Radish,56
4-2019,Ginger,14
4-2019,Potato,27
4-2019,Radish,10
4-2019,Tomato,83
4-2019,Corn,61
4-2019,Cardamon,63
4-2019,Pumpkin,65
4-2019,Cowpea,52
4-2019,Cardamon,64
4-2019,Cocoa,79
4-2019,Leak,12
4-2019,Potato,42
4-2019,Cardamon,51
4-2019,Potato,46
4-2019,Onion,44
4-2019,Potato,36
4-2019,Tomato,91
4-2019,Ginger,69
4-2019,Ginger,43
4-2019,Ginger,36
4-2019,Radish,59
4-2019,Garlic,81
4-2019,Cardamon,67
4-2019,Pumpkin,44
4-2019,Cocoa,88
4-2019,Radish,66
4-2019,Pepper,12
4-2019,Leak,49
4-2019,Pepper,39
4-2019,Onion,61
4-2019,Tomato,98
4-2019,Onion,63
4-2019,Cocoa,91
4-2019,Cardamon,38
4-2019,Potato,26
4-2019,Cardamon,48
4-2019,Potato,66
4-2019,Radish,38
4-2019,Cocoa,85
4-2019,Onion,52
4-2019,Cowpea,27
4-2019,Potato,27
4-2019,Cocoa,86
4-2019,Corn,21
4-2019,Radish,57
4-2019,Tomato,96
4-2019,Ginger,18
4-2019,Corn,34
4-2019,Garlic,96
4-2019,Tomato,71
4-2019,Cardamon,50
4-2019,Cardamon,64
4-2019,Chilies,13
4-2019,Potato,45
4-2019,Garlic,86
4-2019,Onion,61
4-2019,Cardamon,18
4-2019,Garlic,73
4-2019,Corn,22
4-2019,Pumpkin,31
4-2019,Chilies,54
4-2019,Onion,49
4-2019,Cowpea,17
4-2019,Tomato,82
4-2019,Pumpkin,49
4-2019,Onion,46
4-2019,Leak,34
4-2019,Cocoa,82
4-2019,Garlic,100
4-2019,Onion,31
4-2019,Radish,70
4-2019,Garlic,91
4-2019,Ginger,58
4-2019,Leak,23
4-2019,Cardamon,16
4-2019,Tomato,83
4-2019,Cocoa,85
4-2019,Chilies,48
4-2019,Tomato,92
4-2019,Cowpea,32
4-2019,Cowpea,13
4-2019,Cardamon,14
4-2019,Garlic,77
4-2019,Cocoa,98
4-2019,Tomato,80
4-2019,Pepper,31
4-2019,Corn,41
4-2019,Pumpkin,31
4-2019,Onion,15
4-2019,Cardamon,70
4-2019,Leak,52
4-2019,Leak,48
4-2019,Tomato,95
4-2019,Onion,68
4-2019,Cowpea,34
4-2019,Cocoa,96
4-2019,Cocoa,84
4-2019,Radish,66
4-2019,Cocoa,77
4-2019,Tomato,82
4-2019,Pumpkin,25
4-2019,Leak,17
4-2019,Cowpea,63
4-2019,Cocoa,93
4-2019,Cowpea,64
4-2019,Radish,20
4-2019,Onion,28
4-2019,Leak,40
4-2019,Onion,27
4-2019,Potato,45
4-2019,Potato,12
4-2019,Radish,68
4-2019,Chilies,16
4-2019,Leak,27
4-2019,Leak,22
4-2019,Potato,30
4-2019,Tomato,83
4-2019,Cowpea,67
4-2019,Cocoa,88
4-2019,Corn,20
4-2019,Potato,44
4-2019,Pepper,43
4-2019,Cowpea,14
4-2019,Corn,19
4-2019,Pepper,58
4-2019,Garlic,80
4-2019,Pumpkin,54
4-2019,Ginger,67
4-2019,Ginger,22
4-2019,Leak,16
4-2019,Onion,22
4-2019,Chilies,59
4-2019,Corn,45
4-2019,Radish,31
4-2019,Pepper,14
4-2019,Ginger,23
4-2019,Chilies,26
4-2019,Tomato,96
4-2019,Onion,55
4-2019,Pumpkin,28
4-2019,Chilies,47
4-2019,Ginger,48
4-2019,Leak,49
4-2019,Cocoa,97
4-2019,Cocoa,86
4-2019,Cocoa,82
4-2019,Pumpkin,49
4-2019,Pumpkin,69
4-2019,Leak,40
4-2019,Onion,12
4-2019,Cowpea,20
4-2019,Garlic,85
4-2019,Cowpea,45
4-2019,Garlic,98
4-2019,Chilies,18
4-2019,Cocoa,96
4-2019,Cardamon,20
4-2019,Pumpkin,53
4-2019,Cowpea,25
4-2019,Radish,43
4-2019,Cardamon,10
4-2019,Chilies,41
4-2019,Chilies,48
4-2019,Cocoa,88
4-2019,Corn,29
4-2019,Potato,29
4-2019,Chilies,44
4-2019,Corn,67
4-2019,Potato,66
4-2019,Cardamon,52
4-2019,Tomato,92
4-2019,Potato,37
4-2019,Ginger,59
4-2019,Cocoa,83
4-2019,Potato,33
4-2019,Cowpea,28
4-2019,Potato,69
4-2019,Leak,13
4-2019,Chilies,12
4-2019,Pumpkin,41
4-2019,Leak,29
4-2019,Potato,69
4-2019,Chilies,37
4-2019,Chilies,69
4-2019,Cowpea,57
4-2019,Pepper,69
4-2019,Garlic,100
4-2019,Garlic,80
4-2019,Garlic,96
4-2019,Tomato,79
4-2019,Ginger,50
4-2019,Pumpkin,42
4-2019,Cowpea,66
4-2019,Garlic,85
4-2019,Tomato,86
4-2019,Ginger,10
4-2019,Radish,44
4-2019,Corn,49
4-2019,Tomato,96
4-2019,Cowpea,31
4-2019,Onion,24
4-2019,Radish,15
4-2019,Radish,70
4-2019,Potato,15
4-2019,Leak,17
4-2019,Onion,39
4-2019,Tomato,76
4-2019,Radish,20
4-2019,Radish,22
4-2019,Cocoa,100
4-2019,Pepper,54
4-2019,Pumpkin,28
4-2019,Radish,32
4-2019,Chilies,34
4-2019,Cardamon,51
4-2019,Cocoa,74
4-2019,Potato,38
4-2019,Corn,43
4-2019,Onion,26
4-2019,Pumpkin,12
4-2019,Chilies,23
4-2019,Potato,44
4-2019,Corn,36
4-2019,Tomato,89
4-2019,Onion,49
4-2019,Cowpea,33
4-2019,Onion,19
4-2019,Ginger,12
4-2019,Tomato,95
4-2019,Potato,25
4-2019,Pumpkin,21
4-2019,Corn,40
4-2019,Onion,26
4-2019,Chilies,46
4-2019,Leak,22
4-2019,Leak,57
4-2019,Radish,64
4-2019,Cowpea,51
4-2019,Cowpea,14
4-2019,Tomato,84
4-2019,Tomato,88
4-2019,Ginger,45
4-2019,Pumpkin,27
4-2019,Tomato,74
4-2019,Onion,26
4-2019,Onion,34
4-2019,Leak,51
4-2019,Radish,50
4-2019,Cocoa,81
4-2019,Cardamon,43
4-2019,Cowpea,34
4-2019,Pumpkin,22
4-2019,Tomato,72
4-2019,Onion,57
4-2019,Onion,49
4-2019,Garlic,89
4-2019,Ginger,70
4-2019,Garlic,87
4-2019,Leak,29
4-2019,Pepper,23
4-2019,Ginger,29
4-2019,Garlic,90
4-2019,Leak,24
4-2019,Chilies,60
4-2019,Pepper,38
4-2019,Potato,29
4-2019,Garlic,88
4-2019,Pumpkin,68
4-2019,Leak,17
4-2019,Potato,26
4-2019,Radish,50
4-2019,Potato,52
4-2019,Onion,57
4-2019,Radish,53
4-2019,Corn,16
4-2019,Chilies,64
4-2019,Cowpea,40
4-2019,Cardamon,12
4-2019,Garlic,84
4-2019,Chilies,33
4-2019,Leak,60
4-2019,Garlic,80
4-2019,Onion,10
4-2019,Onion,36
4-2019,Chilies,62
4-2019,Onion,46
4-2019,Cardamon,51
4-2019,Onion,37
4-2019,Onion,64
4-2019,Pumpkin,21
4-2019,Tomato,100
4-2019,Pumpkin,26
4-2019,Pepper,25
4-2019,Radish,20
4-2019,Chilies,53
4-2019,Cardamon,32
4-2019,Tomato,93
4-2019,Tomato,82
4-2019,Tomato,78
4-2019,Radish,10
4-2019,Chilies,30
4-2019,Radish,49
4-2019,Pepper,59
4-2019,Ginger,33
4-2019,Onion,25
4-2019,Tomato,96
4-2019,Corn,23
4-2019,Radish,33
4-2019,Potato,43
4-2019,Radish,54
4-2019,Ginger,61
4-2019,Cocoa,73
4-2019,Corn,32
4-2019,Garlic,72
4-2019,Cardamon,25
4-2019,Cardamon,18
4-2019,Tomato,88
4-2019,Corn,43
4-2019,Potato,51
4-2019,Cardamon,28
4-2019,Radish,36
4-2019,Tomato,92
4-2019,Pepper,70
4-2019,Cowpea,70
4-2019,Leak,14
4-2019,Leak,65
4-2019,Cardamon,27
4-2019,Onion,42
4-2019,Cardamon,62
4-2019,Corn,39
4-2019,Tomato,93
4-2019,Ginger,41
4-2019,Onion,53
4-2019,Radish,52
4-2019,Tomato,70
4-2019,Corn,26
4-2019,Tomato,90
4-2019,Pepper,39
4-2019,Leak,36
4-2019,Pumpkin,42
4-2019,Chilies,54
4-2019,Radish,63
4-2019,Potato,41
4-2019,Pumpkin,50
4-2019,Garlic,78
4-2019,Chilies,47
4-2019,Onion,21
4-2019,Leak,19
4-2019,Potato,30
4-2019,Leak,50
4-2019,Pepper,11
4-2019,Ginger,18
4-2019,Cocoa,92
4-2019,Ginger,19
4-2019,Tomato,74
4-2019,Chilies,68
4-2019,Ginger,10
4-2019,Corn,49
4-2019,Cowpea,42
4-2019,Cardamon,38
4-2019,Cardamon,14
4-2019,Cardamon,60
4-2019,Tomato,73
4-2019,Cocoa,89
4-2019,Corn,13
4-2019,Pumpkin,43
4-2019,Garlic,95
4-2019,Radish,46
4-2019,Pepper,16
4-2019,Cowpea,25
4-2019,Pepper,42
4-2019,Cowpea,44
4-2019,Corn,67
4-2019,Leak,27
4-2019,Ginger,16
4-2019,Onion,12
4-2019,Ginger,56
4-2019,Pepper,25
4-2019,Garlic,71
4-2019,Cardamon,61
4-2019,Potato,10
4-2019,Ginger,59
4-2019,Potato,51
4-2019,Pepper,40
4-2019,Chilies,48
4-2019,Cocoa,86
4-2019,Pepper,38
4-2019,Onion,32
4-2019,Cardamon,18
4-2019,Onion,25
4-2019,Radish,67
4-2019,Onion,28
4-2019,Corn,36
4-2019,Ginger,66
4-2019,Corn,11
4-2019,Leak,46
4-2019,Pumpkin,16
4-2019,Corn,43
4-2019,Cowpea,18
4-2019,Cowpea,46
4-2019,Chilies,37
4-2019,Cardamon,19
4-2019,Cocoa,99
4-2019,Cocoa,76
4-2019,Tomato,88
4-2019,Pepper,29
4-2019,Corn,29
4-2019,Tomato,89
4-2019,Potato,42
4-2019,Potato,24
4-2019,Pepper,15
4-2019,Corn,58
4-2019,Cardamon,26
4-2019,Cocoa,78
4-2019,Leak,49
4-2019,Chilies,24
4-2019,Onion,57
4-2019,Onion,63
4-2019,Pumpkin,53
4-2019,Corn,54
4-2019,Tomato,92
4-2019,Corn,48
4-2019,Corn,61
4-2019,Leak,52
4-2019,Garlic,98
4-2019,Pepper,19
4-2019,Garlic,95
4-2019,Cowpea,59
4-2019,Leak,13
4-2019,Chilies,21
4-2019,Garlic,100
4-2019,Pepper,25
4-2019,Garlic,81
4-2019,Potato,23
4-2019,Radish,10
4-2019,Cocoa,100
4-2019,Ginger,69
4-2019,Cocoa,75
4-2019,Ginger,69
4-2019,Pumpkin,24
4-2019,Onion,30
4-2019,Chilies,49
4-2019,Corn,46
4-2019,Onion,44
4-2019,Leak,15
4-2019,Cowpea,32
4-2019,Onion,11
4-2019,Chilies,57
4-2019,Ginger,70
4-2019,Radish,68
4-2019,Leak,55
4-2019,Ginger,39
4-2019,Tomato,77
4-2019,Leak,17
4-2019,Chilies,28
4-2019,Radish,53
4-2019,Cocoa,73
4-2019,Tomato,89
4-2019,Cowpea,65
4-2019,Leak,45
4-2019,Chilies,30
4-2019,Cocoa,88
4-2019,Cardamon,31
4-2019,Chilies,31
4-2019,Cowpea,40
4-2019,Ginger,59
4-2019,Cardamon,55
4-2019,Leak,59
4-2019,Pepper,30
4-2019,Garlic,87
4-2019,Corn,29
4-2019,Cowpea,10
4-2019,Cocoa,95
4-2019,Garlic,74
4-2019,Cardamon,46
4-2019,Cowpea,36
4-2019,Corn,43
4-2019,Cocoa,77
4-2019,Cardamon,38
4-2019,Pumpkin,63
4-2019,Potato,54
4-2019,Ginger,61
4-2019,Ginger,11
4-2019,Corn,55
4-2019,Onion,70
4-2019,Leak,22
4-2019,Radish,35
4-2019,Pumpkin,61
4-2019,Tomato,76
4-2019,Potato,55
4-2019,Chilies,51
4-2019,Chilies,30
4-2019,Pumpkin,12
4-2019,Chilies,39
4-2019,Leak,69
4-2019,Garlic,74
4-2019,Tomato,73
4-2019,Garlic,78
4-2019,Cocoa,75
4-2019,Ginger,21
4-2019,Ginger,21
4-2019,Potato,14
4-2019,Tomato,89
4-2019,Cowpea,32
4-2019,Pumpkin,14
4-2019,Leak,70
4-2019,Cocoa,95
4-2019,Cocoa,98
4-2019,Pumpkin,46
4-2019,Chilies,66
4-2019,Chilies,40
4-2019,Onion,49
4-2019,Leak,32
4-2019,Corn,58
4-2019,Cardamon,56
4-2019,Corn,63
4-2019,Ginger,67
4-2019,Pepper,32
4-2019,Cocoa,87
4-2019,Cocoa,70
4-2019,Cardamon,19
4-2019,Corn,53
4-2019,Corn,38
4-2019,Cocoa,73
4-2019,Cardamon,56
4-2019,Ginger,43
4-2019,Cardamon,24
4-2019,Cowpea,30
4-2019,Corn,34
4-2019,Garlic,70
4-2019,Potato,16
4-2019,Potato,10
4-2019,Garlic,82
4-2019,Cocoa,97
4-2019,Ginger,30
4-2019,Ginger,20
4-2019,Cocoa,73
4-2019,Cowpea,34
4-2019,Cardamon,32
4-2019,Cowpea,11
4-2019,Radish,61
4-2019,Tomato,85
4-2019,Tomato,95
4-2019,Potato,53
4-2019,Garlic,99
4-2019,Cardamon,53
4-2019,Pepper,57
4-2019,Cowpea,19
4-2019,Ginger,43
4-2019,Pumpkin,39
4-2019,Tomato,90
4-2019,Ginger,37
4-2019,Potato,42
4-2019,Cardamon,26
4-2019,Radish,35
4-2019,Cardamon,18
4-2019,Cocoa,90
4-2019,Chilies,10
4-2019,Cocoa,79
4-2019,Cocoa,98
4-2019,Ginger,61
4-2019,Cowpea,18
4-2019,Radish,29
4-2019,Ginger,40
4-2019,Cardamon,60
4-2019,Pepper,12
4-2019,Garlic,94
4-2019,Leak,44
4-2019,Corn,43
4-2019,Leak,24
4-2019,Cardamon,10
4-2019,Cardamon,62
4-2019,Garlic,94
4-2019,Tomato,73
4-2019,Cowpea,58
4-2019,Ginger,51
4-2019,Corn,32
4-2019,Potato,16
4-2019,Potato,19
4-2019,Cardamon,33
4-2019,Tomato,88
4-2019,Garlic,88
4-2019,Cocoa,96
4-2019,Onion,63
4-2019,Ginger,32
4-2019,Radish,22
4-2019,Chilies,59
4-2019,Cowpea,32
4-2019,Leak,23
4-2019,Corn,23
4-2019,Cardamon,44
4-2019,Cardamon,40
4-2019,Onion,57
4-2019,Cocoa,76
4-2019,Leak,41
4-2019,Leak,27
4-2019,Cardamon,20
4-2019,Leak,46
4-2019,Corn,34
4-2019,Ginger,52
4-2019,Radish,20
4-2019,Tomato,93
4-2019,Tomato,82
4-2019,Chilies,23
4-2019,Radish,17
4-2019,Corn,13
4-2019,Corn,51
4-2019,Pepper,37
4-2019,Potato,33
4-2019,Cardamon,24
4-2019,Pumpkin,65
4-2019,Garlic,87
4-2019,Garlic,92
4-2019,Pepper,60
4-2019,Pepper,60
4-2019,Pumpkin,54
4-2019,Pumpkin,16
4-2019,Cowpea,65
4-2019,Onion,15
4-2019,Potato,20
4-2019,Cardamon,26
4-2019,Pumpkin,31
4-2019,Pumpkin,20
4-2019,Pepper,25
4-2019,Cowpea,31
4-2019,Tomato,86
4-2019,Onion,13
4-2019,Cocoa,98
4-2019,Pepper,37
4-2019,Cardamon,45
4-2019,Pumpkin,44
4-2019,Garlic,82
4-2019,Leak,61
4-2019,Onion,20
4-2019,Leak,17
4-2019,Radish,27
4-2019,Cardamon,44
4-2019,Garlic,93
4-2019,Cowpea,41
4-2019,Potato,60
4-2019,Ginger,61
4-2019,Leak,40
4-2019,Cocoa,92
4-2019,Garlic,73
4-2019,Onion,44
4-2019,Cowpea,39
4-2019,Pumpkin,10
4-2019,Tomato,71
4-2019,Leak,53
4-2019,Ginger,49
4-2019,Leak,47
4-2019,Cowpea,22
4-2019,Ginger,10
4-2019,Leak,14
4-2019,Radish,20
4-2019,Pepper,45
4-2019,Corn,46
4-2019,Tomato,70
4-2019,Garlic,85
4-2019,Corn,16
4-2019,Pepper,66
4-2019,Cowpea,11
4-2019,Potato,62
4-2019,Cocoa,96
4-2019,Radish,58
4-2019,Pumpkin,63
4-2019,Cowpea,20
4-2019,Potato,21
4-2019,Tomato,93
4-2019,Cocoa,87
4-2019,Potato,18
4-2019,Cocoa,72
4-2019,Cardamon,13
4-2019,Radish,58
4-2019,Onion,63
4-2019,Leak,44
4-2019,Radish,49
4-2019,Potato,17
4-2019,Cocoa,72
4-2019,Cocoa,89
4-2019,Radish,44
4-2019,Cardamon,33
4-2019,Garlic,96
4-2019,Ginger,39
4-2019,Cocoa,97
4-2019,Onion,50
4-2019,Pepper,35
4-2019,Tomato,75
4-2019,Radish,36
4-2019,Radish,30
4-2019,Corn,29
4-2019,Tomato,93
4-2019,Corn,49
4-2019,Potato,33
4-2019,Cowpea,40
4-2019,Ginger,20
4-2019,Cocoa,95
4-2019,Radish,12
4-2019,Tomato,74
4-2019,Pumpkin,29
4-2019,Radish,27
4-2019,Pepper,25
4-2019,Pepper,60
4-2019,Corn,16
4-2019,Chilies,19
4-2019,Cocoa,72
4-2019,Leak,34
4-2019,Chilies,45
4-2019,Tomato,99
4-2019,Cardamon,50
4-2019,Leak,37
4-2019,Chilies,45
4-2019,Corn,10
4-2019,Ginger,46
4-2019,Cowpea,27
4-2019,Radish,59
4-2019,Cocoa,95
4-2019,Tomato,78
4-2019,Pumpkin,39
4-2019,Onion,49
4-2019,Tomato,84
4-2019,Onion,14
4-2019,Cocoa,77
4-2019,Leak,41
4-2019,Cardamon,56
4-2019,Radish,13
4-2019,Chilies,27
4-2019,Corn,48
4-2019,Chilies,10
4-2019,Chilies,27
4-2019,Corn,38
4-2019,Pepper,21
4-2019,Pepper,19
4-2019,Cowpea,22
4-2019,Tomato,93
4-2019,Corn,47
4-2019,Pepper,21
4-2019,Cowpea,10
4-2019,Radish,36
4-2019,Cocoa,88
4-2019,Ginger,70
4-2019,Ginger,41
4-2019,Radish,39
4-2019,Potato,40
4-2019,Ginger,11
4-2019,Leak,31
4-2019,Cocoa,92
4-2019,Chilies,51
4-2019,Pepper,40
4-2019,Radish,66
4-2019,Ginger,26
4-2019,Pepper,39
4-2019,Garlic,79
4-2019,Pumpkin,26
4-2019,Cocoa,72
4-2019,Garlic,75
4-2019,Cocoa,74
4-2019,Onion,28
4-2019,Ginger,41
4-2019,Radish,66
4-2019,Potato,52
4-2019,Cardamon,34
4-2019,Corn,49
4-2019,Potato,18
4-2019,Ginger,15
4-2019,Pepper,10
4-2019,Tomato,94
4-2019,Tomato,81
4-2019,Cowpea,61
4-2019,Onion,29
4-2019,Corn,58
4-2019,Cardamon,43
4-2019,Potato,19
4-2019,Pepper,41
4-2019,Ginger,15
4-2019,Cardamon,24
4-2019,Pumpkin,56
4-2019,Cowpea,48
4-2019,Ginger,36
4-2019,Chilies,20
4-2019,Corn,55
4-2019,Ginger,45
4-2019,Cardamon,55
4-2019,Cowpea,41
4-2019,Ginger,27
4-2019,Onion,28
4-2019,Corn,32
4-2019,Ginger,22
4-2019,Onion,30
4-2019,Garlic,90
4-2019,Ginger,47
4-2019,Cowpea,55
4-2019,Leak,63
4-2019,Pumpkin,61
4-2019,Leak,13
4-2019,Garlic,91
4-2019,Corn,53
4-2019,Cocoa,80
4-2019,Tomato,71
4-2019,Radish,47
4-2019,Chilies,37
4-2019,Pepper,26
4-2019,Radish,54
4-2019,Radish,33
4-2019,Tomato,79
4-2019,Tomato,76
4-2019,Chilies,20
4-2019,Onion,26
4-2019,Cowpea,21
4-2019,Ginger,28
4-2019,Pepper,41
4-2019,Cocoa,82
4-2019,Cardamon,16
4-2019,Leak,57
4-2019,Potato,65
4-2019,Tomato,72
4-2019,Corn,53
4-2019,Cocoa,88
4-2019,Cocoa,85
4-2019,Potato,32
4-2019,Radish,49
4-2019,Ginger,54
4-2019,Ginger,11
4-2019,Cocoa,72
4-2019,Tomato,94
4-2019,Cardamon,45
4-2019,Garlic,90
4-2019,Onion,27
4-2019,Tomato,83
4-2019,Ginger,49
4-2019,Ginger,30
4-2019,Chilies,40
4-2019,Pumpkin,66
4-2019,Cocoa,96
4-2019,Onion,21
4-2019,Pumpkin,22
4-2019,Potato,44
4-2019,Pumpkin,62
4-2019,Potato,58
4-2019,Cowpea,29
4-2019,Leak,61
4-2019,Cardamon,34
4-2019,Ginger,54
4-2019,Ginger,24
4-2019,Pumpkin,34
4-2019,Pumpkin,12
4-2019,Onion,61
4-2019,Garlic,80
4-2019,Onion,59
4-2019,Cocoa,88
4-2019,Leak,52
4-2019,Pepper,10
4-2019,Tomato,88
4-2019,Cowpea,33
4-2019,Chilies,42
4-2019,Pepper,62
4-2019,Pepper,34
4-2019,Cardamon,40
4-2019,Onion,28
4-2019,Corn,45
4-2019,Cardamon,68
4-2019,Potato,36
4-2019,Garlic,96
4-2019,Pepper,63
4-2019,Radish,37
4-2019,Tomato,87
4-2019,Potato,58
4-2019,Corn,60
4-2019,Leak,27
4-2019,Ginger,24
4-2019,Pepper,51
4-2019,Ginger,21
4-2019,Onion,18
4-2019,Cowpea,29
4-2019,Chilies,51
4-2019,Chilies,70
4-2019,Tomato,94
4-2019,Radish,50
4-2019,Tomato,76
4-2019,Leak,42
4-2019,Potato,19
4-2019,Potato,65
4-2019,Pepper,36
4-2019,Ginger,21
4-2019,Cocoa,75
4-2019,Potato,22
4-2019,Tomato,99
4-2019,Pepper,45
4-2019,Corn,54
4-2019,Cocoa,93
4-2019,Onion,14
4-2019,Onion,53
4-2019,Radish,59
4-2019,Garlic,90
4-2019,Corn,49
4-2019,Pepper,14
4-2019,Garlic,76
4-2019,Chilies,53
4-2019,Pepper,38
4-2019,Potato,50
4-2019,Chilies,17
4-2019,Onion,12
4-2019,Onion,40
4-2019,Cowpea,70
4-2019,Cardamon,25
4-2019,Potato,43
4-2019,Radish,37
4-2019,Pumpkin,24
4-2019,Leak,56
4-2019,Ginger,29
4-2019,Tomato,88
4-2019,Garlic,87
4-2019,Radish,60
4-2019,Potato,45
4-2019,Cardamon,10
4-2019,Cardamon,38
4-2019,Potato,29
4-2019,Garlic,91
4-2019,Cocoa,73
4-2019,Potato,42
4-2019,Radish,61
4-2019,Ginger,26
4-2019,Ginger,46
4-2019,Corn,56
4-2019,Pumpkin,16
4-2019,Tomato,85
4-2019,Cardamon,22
4-2019,Ginger,38
4-2019,Radish,32
4-2019,Potato,12
4-2019,Cowpea,54
4-2019,Corn,15
4-2019,Ginger,57
4-2019,Tomato,100
4-2019,Corn,30
4-2019,Garlic,97
4-2019,Cowpea,59
4-2019,Garlic,79
4-2019,Garlic,70
4-2019,Cocoa,70
4-2019,Potato,24
4-2019,Tomato,94
4-2019,Radish,24
4-2019,Leak,25
4-2019,Pepper,57
4-2019,Tomato,97
4-2019,Ginger,36
4-2019,Corn,26
4-2019,Corn,57
4-2019,Cocoa,82
4-2019,Ginger,60
4-2019,Potato,13
4-2019,Corn,69
4-2019,Chilies,12
4-2019,Garlic,78
4-2019,Cowpea,34
4-2019,Cardamon,26
4-2019,Corn,37
4-2019,Ginger,15
4-2019,Onion,63
4-2019,Cowpea,36
4-2019,Ginger,24
4-2019,Tomato,74
4-2019,Garlic,79
4-2019,Chilies,36
4-2019,Potato,53
4-2019,Garlic,84
4-2019,Potato,42
4-2019,Garlic,85
4-2019,Cocoa,94
4-2019,Potato,13
4-2019,Leak,59
4-2019,Tomato,89
4-2019,Onion,23
